method,N,zone,t_step_ms,t_correction_ms,sample_grad_evals_per_step,stream_len,cumulative_runtime_s,section,peak_python_traced_mem_MB,static_ema_MB,static_particles_MB,static_deviations_MB,static_BxB_MB,static_solve_MB,static_total_MB,experiment,kind,metric,mean,std,n_seeds,mean_difference,std_difference,paired_t_p,wilcoxon_p,shared_from,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,sigma_cd,f1_mean,f1_std,rho_q50,rho_q90,rho_q99,rho_max,P_rho_gt_0.9,P_rho_gt_0.99,clip_count,wspf_b_actual_clip_rate,nonfinite,rho_ge_0.999_count,wspf_a_rho_threshold_exceedance_rate
PF,25,None,3.65287,0.485439,25,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,50,None,6.33107,0.919211,50,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,11.7307,1.66666,100,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,200,None,22.3152,3.15907,200,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,400,None,42.4455,6.05361,400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,25,None,9.71789,6.30291,400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,50,None,18.2652,12.1393,800,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,45.9085,31.5765,1600,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,200,None,106.037,73.5506,3200,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,400,None,236.755,159.701,6400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
