method,f1_mean,f1_std,acc_mean,delta_f1_vs_pf,paired_t_p,wilcoxon_p,resets
NoChange,0.067759,0.000000,0.278069,-0.425525,6.94681e-23,0.00195312,
SGD,0.498805,0.000573,0.773303,0.005521,1.86471e-05,0.00195312,
PF,0.493284,0.001707,0.762032,,,,
WSPF-A,0.494982,0.001138,0.768679,0.001697,0.0251138,0.0273438,
WSPF-B,0.496490,0.000755,0.769460,0.003206,0.00104571,0.00976562,
PH-SGD,0.482711,0.000710,0.760349,-0.010573,3.6738e-08,0.00195312,7.40
Window-SGD,0.489333,0.001343,0.754148,-0.003952,0.000215156,0.00195312,0.00
