shared_from,method,zone,metric,mean,std
PF,PF,None,f1,0.793695,0.00252037
PF,WSPF-A,None,f1,0.790382,0.00503535
PF,WSPF-B,None,f1,0.787828,0.0064839
WSPF-A,PF,None,f1,0.572212,0.0424353
WSPF-A,WSPF-A,None,f1,0.599685,0.0258097
WSPF-A,WSPF-B,None,f1,0.596684,0.0323547
WSPF-B,PF,None,f1,0.658275,0.0384727
WSPF-B,WSPF-A,None,f1,0.624267,0.0216208
WSPF-B,WSPF-B,None,f1,0.664122,0.0372615
