benchmark,method,hidden_dim,param_dim,t_step_ms,t_correction_ms,peak_mem_MB
gefcom,WSPF-A,16,257,13.3537,8.2656,12.5122
gefcom,WSPF-B,16,257,7.19827,2.0968,10.6126
gefcom,WSPF-A,32,513,23.6856,15.2898,24.1419
gefcom,WSPF-B,32,513,12.1283,3.87999,21.0135
gefcom,WSPF-A,64,1025,57.4529,37.3671,47.3972
gefcom,WSPF-B,64,1025,31.4102,12.477,41.813
gefcom,WSPF-A,128,2049,130.2,88.5188,93.9114
gefcom,WSPF-B,128,2049,76.1477,36.2259,83.4122
