method,N,zone,metric,mean,std,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,t_step_ms
PF,20,None,mse,0.71664,0.0159171,0.452815,0.723442,0.300089,0.358587,0.6645,0.378704,0.54,0.241769
PF,40,None,mse,0.711423,0.00443086,0.448708,0.76964,0.192677,0.459473,0.65175,0.378429,0.56,0.351699
WSPF-A,20,None,mse,0.753949,0.0283645,0.153619,0.375605,0.641906,0.122083,0.269,0.238233,0.96,0.52878
WSPF-A,40,None,mse,0.745117,0.0359624,0.0958865,0.375074,0.586386,0.132194,0.2135,0.205765,0.99,0.82624
WSPF-B,20,None,mse,0.783735,0.0147293,0.190188,0.474048,0.545765,0.153936,0.322,0.293313,0.96,0.271917
WSPF-B,40,None,mse,0.750792,0.00549427,0.161296,0.522899,0.440798,0.221883,0.3285,0.285315,0.94,0.406598
