shared_from,method,zone,metric,mean,std
PF,PF,None,mse,0.585496,0.368578
PF,WSPF-A,None,mse,0.606653,0.378379
PF,WSPF-B,None,mse,0.605432,0.378393
WSPF-A,PF,None,mse,0.529782,0.277654
WSPF-A,WSPF-A,None,mse,0.583574,0.347333
WSPF-A,WSPF-B,None,mse,0.562436,0.325163
WSPF-B,PF,None,mse,0.596934,0.386679
WSPF-B,WSPF-A,None,mse,0.628074,0.395444
WSPF-B,WSPF-B,None,mse,0.620618,0.403645
