sigma_cd,seed,method,mse,mae,rho_mean,rho_max,ess_mean,resample_frac,nonfinite
0.002,6,WSPF-B,0.021766,0.111855,0.47985711682319987,0.8782053497661106,2.881257930856381,1.0,0
0.002,7,SGD,0.020970,0.109453,nan,nan,nan,nan,
0.002,7,PF,0.019658,0.105626,nan,nan,75.08920058554993,0.037783375314861464,0
0.002,7,WSPF-A,0.020030,0.106149,0.4691206511501439,0.8774914279841787,3.6275480587260294,1.0,0
0.002,7,WSPF-B,0.020895,0.109189,0.47920914059244984,0.8928363614128181,3.1686873516721348,0.9949622166246851,0
0.002,8,SGD,0.021054,0.109608,nan,nan,nan,nan,
0.002,8,PF,0.019179,0.103520,nan,nan,75.54317342743249,0.03526448362720403,0
0.002,8,WSPF-A,0.022821,0.115043,0.5188793293855308,0.9019255424846317,3.253618903517869,1.0,0
0.002,8,WSPF-B,0.021286,0.110406,0.4846685925672589,0.8708301063994878,2.9262134257449564,1.0,0
0.002,9,SGD,0.019956,0.105491,nan,nan,nan,nan,
0.002,9,PF,0.020468,0.107893,nan,nan,72.49647642206857,0.05037783375314862,0
0.002,9,WSPF-A,0.021843,0.112064,0.500314779618019,0.8698614793960561,3.273095977685254,1.0,0
0.002,9,WSPF-B,0.020977,0.108826,0.4862800341868299,0.8777924285160054,2.9348532370679634,1.0,0
0.005,0,SGD,0.021168,0.109653,nan,nan,nan,nan,
0.005,0,PF,0.020797,0.110156,nan,nan,72.06837890859819,0.11083123425692695,0
0.005,0,WSPF-A,0.023961,0.118691,0.18748329656503857,0.6016295132412893,4.227288834324237,1.0,0
0.005,0,WSPF-B,0.022363,0.113417,0.17481803962765172,0.5755695881071816,15.576811651724165,0.929471032745592,0
0.005,1,SGD,0.021363,0.111654,nan,nan,nan,nan,
0.005,1,PF,0.020171,0.107324,nan,nan,71.4906849605376,0.11838790931989925,0
0.005,1,WSPF-A,0.024480,0.119341,0.1925432193152628,0.6318905167378026,4.487318991688715,1.0,0
0.005,1,WSPF-B,0.023395,0.115740,0.17511501087082934,0.5775157061251027,16.654930798472666,0.9168765743073047,0
0.005,2,SGD,0.019872,0.105871,nan,nan,nan,nan,
0.005,2,PF,0.020548,0.108140,nan,nan,72.75137011870429,0.12342569269521411,0
0.005,2,WSPF-A,0.023930,0.118369,0.1923060502100479,0.6448812728598042,4.416416714380031,1.0,0
0.005,2,WSPF-B,0.021637,0.110993,0.17049557641964738,0.6595601674219929,17.94867312254934,0.9219143576826196,0
0.005,3,SGD,0.021864,0.112118,nan,nan,nan,nan,
0.005,3,PF,0.019856,0.106718,nan,nan,71.57778101827174,0.11335012594458438,0
0.005,3,WSPF-A,0.022249,0.113584,0.16800173871553312,0.5790063771830459,4.756162906126783,1.0,0
0.005,3,WSPF-B,0.022821,0.115333,0.18145566499016622,0.6733780942933383,15.64748587366154,0.9395465994962217,0
0.005,4,SGD,0.020864,0.109752,nan,nan,nan,nan,
0.005,4,PF,0.020071,0.107221,nan,nan,71.18849010596644,0.11335012594458438,0
0.005,4,WSPF-A,0.022507,0.113881,0.17217534917636224,0.5332807672227097,4.802394206773174,1.0,0
0.005,4,WSPF-B,0.023025,0.115839,0.1828366630898628,0.6419745380338253,15.227297680112988,0.9395465994962217,0
0.005,5,SGD,0.021195,0.109692,nan,nan,nan,nan,
0.005,5,PF,0.020843,0.110077,nan,nan,70.40238380004263,0.1309823677581864,0
0.005,5,WSPF-A,0.023043,0.115864,0.17634657816241586,0.6297034399983825,4.732298600180522,1.0,0
0.005,5,WSPF-B,0.022446,0.112157,0.1765804854555931,0.6355822926548078,15.925601481348142,0.9420654911838791,0
0.005,6,SGD,0.020934,0.108292,nan,nan,nan,nan,
0.005,6,PF,0.020587,0.108476,nan,nan,74.77443703240777,0.12594458438287154,0
0.005,6,WSPF-A,0.021527,0.111222,0.1659904616420964,0.5764407286699913,4.924934671015723,1.0,0
0.005,6,WSPF-B,0.022279,0.113016,0.1603191464879616,0.5739349793720783,18.60489781358639,0.9143576826196473,0
0.005,7,SGD,0.020970,0.109453,nan,nan,nan,nan,
0.005,7,PF,0.019787,0.105821,nan,nan,72.47912780000696,0.12342569269521411,0
0.005,7,WSPF-A,0.022957,0.115315,0.17974906795006065,0.6006676208633217,4.312011794013131,1.0,0
0.005,7,WSPF-B,0.021308,0.109762,0.16978274237230898,0.5867713074981069,16.74569415135914,0.9219143576826196,0
0.005,8,SGD,0.021054,0.109608,nan,nan,nan,nan,
0.005,8,PF,0.019821,0.106445,nan,nan,73.04030926854335,0.10327455919395466,0
0.005,8,WSPF-A,0.022949,0.115531,0.18002904991996974,0.6538192414099322,4.668415139969087,1.0,0
0.005,8,WSPF-B,0.022405,0.113047,0.17801876258420582,0.6172508109705263,15.521193976973173,0.9395465994962217,0
0.005,9,SGD,0.019956,0.105491,nan,nan,nan,nan,
0.005,9,PF,0.019970,0.107287,nan,nan,71.10964051066684,0.12090680100755667,0
0.005,9,WSPF-A,0.023914,0.117481,0.19741169697436456,0.665705298652049,4.304893974121307,1.0,0
0.005,9,WSPF-B,0.022659,0.114506,0.178210699381659,0.7685596647048587,16.161259296683262,0.9219143576826196,0
0.01,0,SGD,0.021168,0.109653,nan,nan,nan,nan,
0.01,0,PF,0.023555,0.117047,nan,nan,61.75024105699298,0.31738035264483627,0
0.01,0,WSPF-A,0.031364,0.136233,0.1042920864357495,0.4480056642228802,4.915294343757511,1.0,0
0.01,0,WSPF-B,0.027332,0.127651,0.08568233217084861,0.43994963457096564,26.367739614072136,0.8488664987405542,0
0.01,1,SGD,0.021363,0.111654,nan,nan,nan,nan,
0.01,1,PF,0.023996,0.118901,nan,nan,57.86857551861334,0.35516372795969775,0
0.01,1,WSPF-A,0.030427,0.134420,0.09256700913403386,0.4168102515158314,5.2585073729318195,1.0,0
0.01,1,WSPF-B,0.026803,0.124712,0.0835337516552969,0.45782855682254775,27.735938150757786,0.8438287153652393,0
0.01,2,SGD,0.019872,0.105871,nan,nan,nan,nan,
0.01,2,PF,0.026500,0.124314,nan,nan,57.39707426414453,0.3853904282115869,0
0.01,2,WSPF-A,0.032506,0.140874,0.10792435708221078,0.40121635708258946,4.7297575570336425,1.0,0
0.01,2,WSPF-B,0.029282,0.131734,0.08513072625873118,0.45040134614013083,26.39802745563258,0.8312342569269522,0
0.01,3,SGD,0.021864,0.112118,nan,nan,nan,nan,
0.01,3,PF,0.023242,0.116121,nan,nan,60.88026263231957,0.3123425692695214,0
0.01,3,WSPF-A,0.031064,0.136478,0.09529036524809174,0.45326681129415947,5.199846806867911,1.0,0
0.01,3,WSPF-B,0.029482,0.133011,0.09436719650534174,0.5859483893157739,24.175438492804656,0.8690176322418136,0
0.01,4,SGD,0.020864,0.109752,nan,nan,nan,nan,
0.01,4,PF,0.022823,0.113772,nan,nan,60.20234275483872,0.30982367758186397,0
0.01,4,WSPF-A,0.031571,0.136618,0.09495885765583828,0.4760904116651253,4.8243129931287445,1.0,0
0.01,4,WSPF-B,0.029282,0.131011,0.08811362801310159,0.4300526228318266,25.70890685304488,0.8463476070528967,0
0.01,5,SGD,0.021195,0.109692,nan,nan,nan,nan,
0.01,5,PF,0.022588,0.113635,nan,nan,61.865529099333855,0.30982367758186397,0
0.01,5,WSPF-A,0.029994,0.134086,0.09369980047731273,0.4424228323234353,4.950064264729563,1.0,0
0.01,5,WSPF-B,0.026920,0.125498,0.0883420535237763,0.4894188428588945,25.735008841814032,0.8564231738035264,0
0.01,6,SGD,0.020934,0.108292,nan,nan,nan,nan,
0.01,6,PF,0.022740,0.114864,nan,nan,61.25015237193626,0.3198992443324937,0
0.01,6,WSPF-A,0.030845,0.135555,0.0963485254607337,0.3790079582104428,4.680765935167964,1.0,0
0.01,6,WSPF-B,0.027133,0.126054,0.08535588035422174,0.522938823999772,26.79093134060205,0.8211586901763224,0
0.01,7,SGD,0.020970,0.109453,nan,nan,nan,nan,
0.01,7,PF,0.023312,0.115362,nan,nan,60.363114443540724,0.3123425692695214,0
0.01,7,WSPF-A,0.030232,0.134415,0.09882450107761663,0.507017079265279,4.725910253464677,1.0,0
0.01,7,WSPF-B,0.027077,0.126285,0.08607081694230528,0.4132614660643728,25.840842888593116,0.8513853904282116,0
0.01,8,SGD,0.021054,0.109608,nan,nan,nan,nan,
0.01,8,PF,0.024580,0.119589,nan,nan,58.985360940755434,0.327455919395466,0
0.01,8,WSPF-A,0.032466,0.139818,0.10401183707812649,0.46027457781054776,4.6389266899935135,1.0,0
0.01,8,WSPF-B,0.028591,0.130021,0.08996062921729167,0.41923582035991064,25.11821153330593,0.8765743073047859,0
0.01,9,SGD,0.019956,0.105491,nan,nan,nan,nan,
0.01,9,PF,0.023337,0.115673,nan,nan,59.76186160810337,0.2972292191435768,0
0.01,9,WSPF-A,0.031216,0.134853,0.1027688345350723,0.545394818165554,4.96385889039794,1.0,0
0.01,9,WSPF-B,0.025684,0.122083,0.08128414169150233,0.46679804694088745,27.35846787247715,0.8488664987405542,0
0.025,0,SGD,0.021168,0.109653,nan,nan,nan,nan,
0.025,0,PF,0.041405,0.158144,nan,nan,24.32751250169915,0.9345088161209067,0
0.025,0,WSPF-A,0.053810,0.180014,0.05335476982538382,0.2919372890346234,4.702701314690902,1.0,0
0.025,0,WSPF-B,0.058936,0.190349,0.05985701393662147,0.2988292937714119,12.036588830529293,0.9798488664987406,0
0.025,1,SGD,0.021363,0.111654,nan,nan,nan,nan,
0.025,1,PF,0.045595,0.164266,nan,nan,23.163329166833893,0.9017632241813602,0
0.025,1,WSPF-A,0.058809,0.185575,0.057193200142189864,0.4081888410392077,4.890445633777641,1.0,0
0.025,1,WSPF-B,0.066290,0.201960,0.060274965003048374,0.30681138444989703,11.677081791197532,0.9773299748110831,0
0.025,2,SGD,0.019872,0.105871,nan,nan,nan,nan,
0.025,2,PF,0.036872,0.146143,nan,nan,27.003887797234018,0.8790931989924433,0
0.025,2,WSPF-A,0.062965,0.197701,0.05899416097997843,0.31555962291210676,4.095398943838723,1.0,0
0.025,2,WSPF-B,0.052644,0.176389,0.052891236512144106,0.36565357621102834,14.349944477935557,0.9722921914357683,0
0.025,3,SGD,0.021864,0.112118,nan,nan,nan,nan,
0.025,3,PF,0.041541,0.156883,nan,nan,24.374609339285144,0.9319899244332494,0
0.025,3,WSPF-A,0.058943,0.189845,0.05411966840031199,0.30875435722693884,4.593386044436526,1.0,0
0.025,3,WSPF-B,0.051684,0.177864,0.052088271647864316,0.3054259840523199,12.691588419747937,0.9899244332493703,0
0.025,4,SGD,0.020864,0.109752,nan,nan,nan,nan,
0.025,4,PF,0.054319,0.179102,nan,nan,20.938431301770432,0.9168765743073047,0
0.025,4,WSPF-A,0.078674,0.222185,0.07209099080582752,0.3151378255601259,3.3343034980581376,1.0,0
0.025,4,WSPF-B,0.051253,0.177176,0.05182957102074493,0.2879995972479009,13.092609611226006,0.9848866498740554,0
0.025,5,SGD,0.021195,0.109692,nan,nan,nan,nan,
0.025,5,PF,0.051405,0.176505,nan,nan,20.662457543968884,0.9370277078085643,0
0.025,5,WSPF-A,0.053035,0.178643,0.055672180886746504,0.38462029668706793,4.567210413369746,1.0,0
