method,sigma_cd,best_eta,crps_mean,mse_mean,ess_over_N
PF,0.001,0.01,0.217091,0.219358,0.684466
PF,0.005,0.01,0.240031,0.310639,0.54488
PF,0.01,0.01,0.216884,0.258569,0.480185
PF,0.025,0.01,0.208125,0.200785,0.282106
PF,0.05,0.01,0.37385,0.434681,0.056788
PF,0.1,0.1,0.81706,1.60426,0.0128874
