shared_from,method,zone,metric,mean,std
PF,PF,None,f1,0.498332,0.000975441
PF,WSPF-A,None,f1,0.495468,0.000960786
PF,WSPF-B,None,f1,0.496751,0.00112415
WSPF-A,PF,None,f1,0.499859,0.00099312
WSPF-A,WSPF-A,None,f1,0.499969,0.000966177
WSPF-A,WSPF-B,None,f1,0.500186,0.00132926
WSPF-B,PF,None,f1,0.499859,0.00099312
WSPF-B,WSPF-A,None,f1,0.499969,0.000966177
WSPF-B,WSPF-B,None,f1,0.500186,0.00132926
