shared_from,method,zone,metric,mean,std
PF,PF,None,f1,0.793695,0.00252037
PF,WSPF-A,None,f1,0.787817,0.00600812
PF,WSPF-B,None,f1,0.787828,0.0064839
WSPF-A,PF,None,f1,0.801936,0.00622185
WSPF-A,WSPF-A,None,f1,0.77038,0.0147517
WSPF-A,WSPF-B,None,f1,0.789975,0.00980701
WSPF-B,PF,None,f1,0.818436,0.00325502
WSPF-B,WSPF-A,None,f1,0.817644,0.00379212
WSPF-B,WSPF-B,None,f1,0.815769,0.00733458
